Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-03-23 00:00:00+00:00,-0.095,-0.105,-0.06,0.21,-0.365,-0.15,-0.075,-0.055,-0.035,-0.03,-0.015,-0.025,-0.02,-0.04,-0.005
2006-03-24 00:00:00+00:00,-0.1,-0.09,-0.075,0.21,-0.34,-0.13,-0.07,-0.055,-0.03,-0.045,-0.005,-0.035,-0.015,-0.03,-0.01
2006-03-27 00:00:00+00:00,-0.09,-0.1,-0.07,0.21,-0.345,-0.13,-0.065,-0.055,-0.03,-0.035,-0.015,-0.02,-0.02,-0.045,-0.01
2006-03-28 00:00:00+00:00,-0.1,-0.11,-0.01,0.21,-0.415,-0.16,-0.08,-0.055,-0.04,-0.035,-0.01,-0.005,-0.035,-0.035,-0.005
2006-03-29 00:00:00+00:00,-0.11,-0.105,-0.075,0.285,-0.435,-0.165,-0.08,-0.05,-0.035,-0.04,-0.015,-0.03,-0.03,-0.03,-0.01
2006-03-30 00:00:00+00:00,-0.105,-0.11,-0.07,0.285,-0.445,-0.17,-0.075,-0.065,-0.045,-0.04,-0.015,-0.045,-0.015,-0.045,-0.02
2006-03-31 00:00:00+00:00,-0.1,-0.115,-0.065,0.285,-0.46,-0.175,-0.08,-0.06,-0.04,-0.035,-0.02,-0.035,-0.02,-0.06,0.005
2006-04-03 00:00:00+00:00,-0.11,-0.115,-0.05,0.285,-0.49,-0.175,-0.08,-0.055,-0.04,-0.045,-0.015,-0.03,-0.035,-0.04,-0.015
2006-04-04 00:00:00+00:00,-0.11,-0.115,-0.05,0.285,-0.485,-0.17,-0.08,-0.06,-0.04,-0.045,-0.025,-0.04,-0.04,-0.04,-0.01
2006-04-05 00:00:00+00:00,-0.12,-0.085,-0.08,0.285,-0.44,-0.17,-0.08,-0.065,-0.045,-0.05,-0.03,-0.035,-0.04,-0.045,-0.02
2006-04-06 00:00:00+00:00,-0.205,0.01,-0.175,0.285,-0.365,-0.195,-0.11,-0.075,-0.045,-0.06,-0.025,-0.05,-0.04,-0.06,-0.025
2006-04-07 00:00:00+00:00,-0.095,-0.095,-0.18,0.285,-0.345,-0.2,-0.11,-0.07,-0.045,-0.05,-0.045,-0.04,-0.05,-0.045,-0.025
2006-04-10 00:00:00+00:00,-0.09,-0.11,-0.17,0.285,-0.36,-0.205,-0.12,-0.08,-0.05,-0.05,-0.035,-0.045,-0.04,-0.055,-0.025
2006-04-11 00:00:00+00:00,-0.09,-0.105,-0.18,0.285,-0.35,-0.195,-0.115,-0.08,-0.06,-0.05,-0.04,-0.04,-0.045,-0.06,-0.03
2006-04-12 00:00:00+00:00,-0.085,-0.105,-0.19,0.285,-0.345,-0.205,-0.115,-0.09,-0.06,-0.06,-0.04,-0.055,-0.04,-0.045,-0.02
2006-04-13 00:00:00+00:00,-0.085,-0.115,-0.18,0.285,-0.375,-0.225,-0.13,-0.085,-0.07,-0.06,-0.045,-0.045,-0.05,-0.05,-0.025
2006-04-18 00:00:00+00:00,-0.11,-0.015,-0.18,-0.06,-0.03,-0.185,-0.125,-0.095,-0.06,-0.06,-0.04,-0.05,-0.045,-0.055,-0.03
2006-04-19 00:00:00+00:00,-0.095,-0.015,-0.18,-0.06,-0.03,-0.185,-0.13,-0.09,-0.065,-0.06,-0.045,-0.055,-0.05,-0.05,-0.025
2006-04-20 00:00:00+00:00,-0.115,-0.005,-0.18,-0.06,-0.03,-0.19,-0.135,-0.09,-0.055,-0.065,-0.035,-0.045,-0.045,-0.045,-0.02
2006-04-21 00:00:00+00:00,-0.105,-0.015,-0.18,-0.06,-0.03,-0.18,-0.135,-0.095,-0.065,-0.065,-0.04,-0.045,-0.05,-0.055,-0.015
2006-04-24 00:00:00+00:00,-0.11,-0.01,-0.18,-0.06,-0.03,-0.175,-0.13,-0.095,-0.065,-0.06,-0.035,-0.05,-0.05,-0.06,-0.035
2006-04-25 00:00:00+00:00,-0.145,0.04,-0.18,-0.14,0.05,-0.275,-0.14,-0.095,-0.06,-0.06,-0.035,-0.05,-0.035,-0.065,-0.01
2006-04-26 00:00:00+00:00,-0.135,0.055,-0.18,-0.16,0.07,-0.29,-0.13,-0.095,-0.055,-0.05,-0.04,-0.045,-0.045,-0.045,-0.03
2006-04-27 00:00:00+00:00,-0.125,0.05,-0.18,-0.145,0.055,-0.265,-0.125,-0.09,-0.055,-0.05,-0.04,-0.045,-0.05,-0.05,-0.02
2006-04-28 00:00:00+00:00,-0.12,0.05,-0.18,-0.14,0.05,-0.255,-0.13,-0.085,-0.05,-0.05,-0.03,-0.05,-0.035,-0.065,-0.02
2006-05-02 00:00:00+00:00,-0.14,0.07,-0.18,-0.16,0.07,-0.28,-0.135,-0.09,-0.05,-0.045,-0.04,-0.045,-0.035,-0.05,-0.015
2006-05-03 00:00:00+00:00,-0.13,0.05,-0.18,-0.155,0.065,-0.28,-0.13,-0.095,-0.05,-0.045,-0.04,-0.035,-0.045,-0.055,-0.025
2006-05-04 00:00:00+00:00,-0.145,0.06,-0.18,-0.16,0.07,-0.295,-0.13,-0.09,-0.06,-0.05,-0.03,-0.055,-0.035,-0.055,-0.025
2006-05-05 00:00:00+00:00,-0.155,0.07,-0.18,-0.165,0.075,-0.29,-0.12,-0.085,-0.055,-0.05,-0.03,-0.045,-0.04,-0.055,-0.03
2006-05-08 00:00:00+00:00,-0.145,0.08,-0.18,-0.18,0.09,-0.3,-0.125,-0.085,-0.055,-0.05,-0.03,-0.05,-0.045,-0.045,-0.025
2006-05-09 00:00:00+00:00,-0.155,0.085,-0.18,-0.185,0.095,-0.31,-0.125,-0.085,-0.055,-0.045,-0.03,-0.045,-0.05,-0.045,-0.02
2006-05-10 00:00:00+00:00,-0.16,-0.075,-0.03,-0.175,0.085,-0.295,-0.12,-0.085,-0.045,-0.05,-0.035,-0.05,-0.005,-0.065,-0.015
